lang,,SP, ,HIP, ,HCP, ,OPT, ,NS, ,NT, ,WHM, ,PI, ,TM, ,VtoI, ,ItoC, ,AH, ,QInv,
"132",0,1.2e-322,2385,1.2e-322,747,0.5,-1,0.5,-1,0.00368088,-1,0.955287132,-1,0.5,-1,5.26E-290,4269,2.64E-257,5562,3.22E-94,14773,0.5,-1,6.06E-212,6401,0.5,-1
"132",0,1.2e-322,1926,1.2e-322,769,0.5,-1,0.5,-1,0.003666179,-1,0.940290437,-1,0.5,-1,1.44E-290,5082,2.75E-256,5112,2.93E-94,14610,0.5,-1,7.00E-212,6397,0.5,-1
"132",0,1.2e-322,2096,1.2e-322,838,0.5,-1,0.5,-1,0.004133853,-1,0.936378867,-1,0.5,-1,7.89E-288,4154,1.44E-260,5038,2.58E-94,14485,0.5,-1,6.05E-212,6389,0.5,-1
"132",0,1.2e-322,2481,1.2e-322,781,0.5,-1,0.5,-1,0.003858102,-1,0.952295548,-1,0.5,-1,3.31E-288,4418,1.62E-257,4986,2.81E-94,14526,0.5,-1,6.75E-212,6387,0.5,-1
"132",0,1.2e-322,2403,1.2e-322,778,0.5,-1,0.5,-1,0.0036772,-1,0.949929585,-1,0.5,-1,1.84E-290,4935,1.17E-259,5366,4.04E-94,14510,0.5,-1,6.55E-212,6397,0.5,-1
"132",0,1.2e-322,2278,1.2e-322,721,0.5,-1,0.5,-1,0.003270991,-1,0.946386329,-1,0.5,-1,4.38E-291,4407,1.76E-261,4962,3.54E-94,14477,0.5,-1,5.17E-212,6383,0.5,-1
"132",0,1.2e-322,2368,1.2e-322,783,0.5,-1,0.5,-1,0.00369934,-1,0.929195261,-1,0.5,-1,1.67E-286,5327,8.85E-260,5029,2.13E-94,14603,0.5,-1,6.30E-212,6392,0.5,-1
"132",0,1.2e-322,2394,1.2e-322,731,0.5,-1,0.5,-1,0.003831177,-1,0.94498349,-1,0.5,-1,1.11E-289,4583,9.23E-258,5747,3.16E-94,14451,0.5,-1,6.61E-212,6427,0.5,-1
"132",0,1.2e-322,2277,1.2e-322,740,0.5,-1,0.5,-1,0.004088608,-1,0.938231671,-1,0.5,-1,1.80E-291,4866,5.57E-258,5243,4.02E-94,14600,0.5,-1,6.25E-212,6394,0.5,-1
"132",0,1.2e-322,2135,1.2e-322,774,0.5,-1,0.5,-1,0.00384654,-1,0.94010345,-1,0.5,-1,2.81E-292,4380,2.48E-259,5167,1.92E-94,14626,0.5,-1,6.50E-212,6392,0.5,-1
"132",0,1.2e-322,2167,1.2e-322,788,0.5,-1,0.5,-1,0.003858102,-1,0.942434535,-1,0.5,-1,1.77E-288,4760,9.04E-260,5286,3.05E-94,14439,0.5,-1,6.37E-212,6388,0.5,-1
"132",0,1.2e-322,2571,1.2e-322,757,0.5,-1,0.5,-1,0.003861964,-1,0.93083692,-1,0.5,-1,8.04E-290,4820,7.69E-258,5058,2.40E-94,14526,0.5,-1,6.81E-212,6398,0.5,-1
"132",0,1.2e-322,2292,1.2e-322,794,0.5,-1,0.5,-1,0.003717892,-1,0.944566033,-1,0.5,-1,5.83E-288,4737,7.10E-258,5360,4.68E-94,14499,0.5,-1,8.15E-212,6413,0.5,-1
"132",0,1.2e-322,2206,1.2e-322,798,0.5,-1,0.5,-1,0.003568468,-1,0.951451465,-1,0.5,-1,2.44E-288,4708,2.98E-256,5399,2.22E-94,14357,0.5,-1,7.02E-212,6404,0.5,-1
